subject_name,course_code,course_title,option_number,component,class_nbr,section,meeting_start_date,meeting_end_date,day,start_time,end_time,room,instructor,seats_open,seats_cap
3D Digital Design,DDDD 403,Senior Capstone II,1,Lecture,53632,01,2026-01-12,2026-04-27,Friday,14:00,16:50,James E Booth (BOO)-1440,"Jennifer Indovina | Philip Szrama,",40,40
3D Digital Design,DDDD 498,3D Digital Design Internship,1,Internship,53107,01,2026-01-12,2026-04-27,To be announced,TBA,,Off-Campus Location,Gary Jacobs,20,20
3D Digital Design,DDDD 499,3D Digital Design Co op,1,UNKNOWN,,,2026-01-12,2026-04-27,To be announced,TBA,,Off-Campus Location,"Gary Jacobs, | Gretchen Eshleman",20,20
3D Digital Design,DDDD 517,Experimental Workshop,1,Laboratory,56200,01L,2026-01-12,2026-04-27,Thursday | Tuesday,11:00 | 11:00,13:50 | 12:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1560,Nina Park,16,16
3D Digital Design,DDDD 517,Experimental Workshop,2,Laboratory,56201,02L,2026-01-12,2026-04-27,Thursday | Tuesday,14:00 | 14:00,16:50 | 15:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1560,Shaun Foster,16,16
3D Digital Design,DDDD 517,Experimental Workshop,3,Laboratory,56202,03L,2026-01-12,2026-04-27,Tuesday | Thursday,08:00 | 08:00,10:50 | 09:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1560,Jooyoung Byun,16,16
3D Digital Design,DDDD 517,Experimental Workshop,4,Laboratory,57829,04L,2026-01-12,2026-04-27,Wednesday | Monday,17:00 | 17:00,19:50 | 18:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1560,Shaun Foster,16,16
3D Digital Design,DDDD 522,Environment Design,1,Laboratory,56230,01L,2026-01-12,2026-04-27,Monday | Wednesday,11:00 | 11:00,13:50 | 12:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1560,Gary Jacobs,16,16
3D Digital Design,DDDD 526,Physical Interface Design,1,Laboratory,56225,01L,2026-01-12,2026-04-27,Monday | Wednesday,14:00 | 14:00,16:50 | 15:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1560,Jennifer Indovina,16,16
3D Digital Design,DDDD 528,Simulating Natural Phenomena,1,Laboratory,56227,01L,2026-01-12,2026-04-27,Tuesday | Thursday,11:00 | 11:00,13:50 | 12:50,James E Booth (BOO)-1420 | James E Booth (BOO)-1560,Shaun Foster,16,16
3D Graphics Technology,N3DG 115,Intermediate 3D Modeling and Techniques,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday | Wednesday,11:00 | 12:00,13:50 | 13:50,James E Booth (BOO)-A630,Philip Pham,10,10
3D Graphics Technology,N3DG 140,3D Lighting and Materials,1,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday | Thursday,11:00 | 11:00,13:50 | 12:50,James E Booth (BOO)-A630,Philip Pham,10,10
3D Graphics Technology,N3DG 225,3D Motion,1,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday | Thursday,14:00 | 14:00,16:50 | 15:50,James E Booth (BOO)-A630,Philip Pham,10,10
3D Graphics Technology,N3DG 230,3D Printing,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday | Wednesday,11:00 | 12:00,13:50 | 13:50,James E Booth (BOO)-A305,J. Olivier,10,10
3D Graphics Technology,N3DG 260,Professional Practices,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday | Wednesday,14:00 | 14:00,15:50 | 16:50,James E Booth (BOO)-A630,Kurt Stoskopf,10,10
ACT Technical Computing Courses,NACT 120,Intro to Computer Applications,1,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday,14:00,15:15,Lyndon Johnson Hall (LBJ)-1310,Jennifer Cornwell,8,8
ACT Technical Computing Courses,NACT 150,Intro to PC Hardware,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday | Friday,14:00 | 14:00,14:50 | 15:50,Lyndon Johnson Hall (LBJ)-1310,David Cockerham-O'Donnell | Kemoy Campbell,15,15
ACT Technical Computing Courses,NACT 150,Intro to PC Hardware,2,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday | Friday,14:00 | 14:00,14:50 | 15:50,Instructor Provided | Lyndon Johnson Hall (LBJ)-1440,Kemoy Campbell,15,15
ACT Technical Computing Courses,NACT 151,Windows Operating Systems,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday | Friday,10:00 | 10:00,10:50 | 11:50,Lyndon Johnson Hall (LBJ)-1310,Brian Trager,15,15
ACT Technical Computing Courses,NACT 151,Windows Operating Systems,2,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday | Friday,10:00 | 12:00,10:50 | 13:50,Instructor Provided | Lyndon Johnson Hall (LBJ)-1310,Brian Trager | David Cockerham-O'Donnell,15,15
ACT Technical Computing Courses,NACT 155,Introduction to Linux,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,14:00,15:50,Lyndon Johnson Hall (LBJ)-1445,Joshua Butler,8,8
ACT Technical Computing Courses,NACT 155,Introduction to Linux,2,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday,11:00,12:50,Lyndon Johnson Hall (LBJ)-1445,Mark Jeremy,8,8
ACT Technical Computing Courses,NACT 160,Networking Essentials,1,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday | Thursday,10:00 | 11:00,10:50 | 12:50,Lyndon Johnson Hall (LBJ)-1320,Tao Eng,15,15
ACT Technical Computing Courses,NACT 160,Networking Essentials,2,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday | Friday,10:00 | 12:00,10:50 | 13:50,Instructor Provided | Lyndon Johnson Hall (LBJ)-1320,Tao Eng,15,15
ACT Technical Computing Courses,NACT 161,Client Server Networks,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday | Thursday,11:00 | 14:00,11:50 | 15:50,Lyndon Johnson Hall (LBJ)-1320,David Cockerham-O'Donnell | Edmund Lucas,15,15
ACT Technical Computing Courses,NACT 161,Client Server Networks,2,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday | Friday,11:00 | 10:00,11:50 | 11:50,Instructor Provided | Lyndon Johnson Hall (LBJ)-1320,David Cockerham-O'Donnell | Mark Jeremy,15,15
ACT Technical Computing Courses,NACT 170,Intro to Web Development,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,10:00,11:50,Lyndon Johnson Hall (LBJ)-2325,- To Be Determined,10,10
ACT Technical Computing Courses,NACT 170,Intro to Web Development,2,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,12:00,13:50,Lyndon Johnson Hall (LBJ)-2355,- To Be Determined,10,10
ACT Technical Computing Courses,NACT 200,Help Desk Support,1,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday,14:00,15:50,Lyndon Johnson Hall (LBJ)-1445,David Cockerham-O'Donnell,8,8
ACT Technical Computing Courses,NACT 230,Introduction to Programming,1,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday,14:00,15:50,Lyndon Johnson Hall (LBJ)-2355,Michael Berrios,8,8
ACT Technical Computing Courses,NACT 231,Scripting Fundamentals,1,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday,11:00,12:50,Lyndon Johnson Hall (LBJ)-1440,Kemoy Campbell,8,8
ACT Technical Computing Courses,NACT 255,A Certification Prep,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,10:00,11:50,Lyndon Johnson Hall (LBJ)-1440,Joshua Butler,8,8
ACT Technical Computing Courses,NACT 261,Network Security,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,14:00,15:50,Lyndon Johnson Hall (LBJ)-1440,Mark Jeremy,8,8
ACT Technical Computing Courses,NACT 289,Special Topics ACT,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,08:00,09:50,Lyndon Johnson Hall (LBJ)-1310,David Cockerham-O'Donnell,10,10
ACT Technical Computing Courses,NACT 289,Special Topics ACT,2,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,17:00,18:50,Lyndon Johnson Hall (LBJ)-1440,Kemoy Campbell,8,8
ACT Technical Computing Courses,NACT 295,ACT Technical Capstone,1,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday | Friday,10:00 | 08:00,10:50 | 11:50,Lyndon Johnson Hall (LBJ)-1445 | Lyndon Johnson Hall (LBJ)-2345,David Cockerham-O'Donnell,8,8
ACT Technical Computing Courses,NACT 295,ACT Technical Capstone,2,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday | Friday,10:00 | 12:00,10:50 | 15:50,Lyndon Johnson Hall (LBJ)-1445 | Lyndon Johnson Hall (LBJ)-2500,Mark Jeremy,8,8
ACT Technical Computing Courses,NACT 299,Co op Applied Computer Tech,1,UNKNOWN,,,2026-01-12,2026-04-27,To be announced,TBA,,TBA,Mark Jeremy,20,20
ASL-English Interpretation,INTP 126,American Sign Language III,1,Seminar,51990,01,2026-01-12,2026-04-27,Monday Wednesday | To be announced,08:00 | TBA,09:50 | ,Lyndon Johnson Hall (LBJ)-1450 | Online,Alisha Bronk,10,10
ASL-English Interpretation,INTP 126,American Sign Language III,2,Seminar,51991,02,2026-01-12,2026-04-27,Monday Wednesday | To be announced,10:00 | TBA,11:50 | ,Lyndon Johnson Hall (LBJ)-1450 | Online,Alisha Bronk,10,10
ASL-English Interpretation,INTP 126,American Sign Language III,3,Seminar,51992,03,2026-01-12,2026-04-27,Tuesday Thursday | To be announced,11:00 | TBA,12:50 | ,Lyndon Johnson Hall (LBJ)-1450 | Online,Alisha Bronk,10,10
ASL-English Interpretation,INTP 126,American Sign Language III,4,Seminar,52290,04,2026-01-12,2026-04-27,Tuesday Thursday | To be announced,14:00 | TBA,15:50 | ,Lyndon Johnson Hall (LBJ)-1450 | Online,Alisha Bronk,10,10
ASL-English Interpretation,INTP 215,Processing Skills Development,1,Lecture,51864,01,2026-01-12,2026-04-27,Tuesday Thursday,09:30,10:45,Lyndon Johnson Hall (LBJ)-3615,Sarah Cannon,10,10
ASL-English Interpretation,INTP 215,Processing Skills Development,2,Lecture,51865,02,2026-01-12,2026-04-27,Tuesday Thursday,11:00,12:15,Lyndon Johnson Hall (LBJ)-3615,Sarah Cannon,10,10
ASL-English Interpretation,INTP 215,Processing Skills Development,3,Lecture,51866,03,2026-01-12,2026-04-27,Tuesday Thursday,12:30,13:45,Lyndon Johnson Hall (LBJ)-3615,Lisa Prinzi,10,10
ASL-English Interpretation,INTP 215,Processing Skills Development,4,Lecture,51867,04,2026-01-12,2026-04-27,Tuesday Thursday,15:30,16:45,Lyndon Johnson Hall (LBJ)-3615,Lisa Prinzi,10,10
ASL-English Interpretation,INTP 226,American Sign Language V,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,08:00,09:50,Lyndon Johnson Hall (LBJ)-3615,Jason Listman,10,10
ASL-English Interpretation,INTP 226,American Sign Language V,2,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,10:00,11:50,Lyndon Johnson Hall (LBJ)-3615,Lisa Johnston,10,10
ASL-English Interpretation,INTP 226,American Sign Language V,3,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,12:00,13:50,Lyndon Johnson Hall (LBJ)-3615,Lisa Johnston,10,10
ASL-English Interpretation,INTP 226,American Sign Language V,4,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,14:00,15:50,Lyndon Johnson Hall (LBJ)-3615,Lisa Johnston,10,10
ASL-English Interpretation,INTP 326,American Sign Language VII,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,08:00,09:50,Lyndon Johnson Hall (LBJ)-3625,Sandra Bradley,10,10
ASL-English Interpretation,INTP 326,American Sign Language VII,2,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,12:00,13:50,Lyndon Johnson Hall (LBJ)-3625,Sandra Bradley,10,10
ASL-English Interpretation,INTP 326,American Sign Language VII,3,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,12:00,13:50,Lyndon Johnson Hall (LBJ)-3635,Marguerite Carrillo,10,10
ASL-English Interpretation,INTP 326,American Sign Language VII,4,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,14:00,15:50,Lyndon Johnson Hall (LBJ)-3625,Sandra Bradley,10,10
ASL-English Interpretation,INTP 335,Interpreting II English to ASL,1,Lecture,51868,01,2026-01-12,2026-04-27,Tuesday Thursday,09:30,10:45,Lyndon Johnson Hall (LBJ)-3625,Ku Mei Kern,10,10
ASL-English Interpretation,INTP 335,Interpreting II English to ASL,2,Lecture,51869,02,2026-01-12,2026-04-27,Tuesday Thursday,11:00,12:15,Lyndon Johnson Hall (LBJ)-3625,Ku Mei Kern,10,10
ASL-English Interpretation,INTP 335,Interpreting II English to ASL,3,Lecture,51870,03,2026-01-12,2026-04-27,Tuesday Thursday,14:00,15:15,Lyndon Johnson Hall (LBJ)-3625,Sarah Cannon,10,10
ASL-English Interpretation,INTP 335,Interpreting II English to ASL,4,Lecture,52232,04,2026-01-12,2026-04-27,Tuesday Thursday,15:30,16:45,Lyndon Johnson Hall (LBJ)-3625,Sarah Cannon,10,10
ASL-English Interpretation,INTP 336,Interpreting II ASL to English,1,Lecture,51871,01,2026-01-12,2026-04-27,Tuesday Thursday,08:00,09:15,Lyndon Johnson Hall (LBJ)-3635,Michael Fisher,10,10
ASL-English Interpretation,INTP 336,Interpreting II ASL to English,2,Lecture,51872,02,2026-01-12,2026-04-27,Tuesday Thursday,09:30,10:45,Lyndon Johnson Hall (LBJ)-3635,Michael Fisher,10,10
ASL-English Interpretation,INTP 336,Interpreting II ASL to English,3,Lecture,51873,03,2026-01-12,2026-04-27,Tuesday Thursday,11:00,12:15,Lyndon Johnson Hall (LBJ)-3635,Michael Fisher,10,10
ASL-English Interpretation,INTP 336,Interpreting II ASL to English,4,Lecture,52233,04,2026-01-12,2026-04-27,Tuesday Thursday,12:30,13:45,Lyndon Johnson Hall (LBJ)-3635,Michael Fisher,10,10
ASL-English Interpretation,INTP 340,Interpreting Frozen and Literary Texts,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday,11:00,13:50,Lyndon Johnson Hall (LBJ)-3710,Jason Listman,10,10
ASL-English Interpretation,INTP 361,Educational Interpreting Elementary Settings,1,Lecture,51876,01,2026-01-12,2026-04-27,Monday,17:00,19:50,Lyndon Johnson Hall (LBJ)-1470,- To Be Determined,10,10
ASL-English Interpretation,INTP 451,Mental Health Interpreting,1,Lecture,52049,01,2026-01-12,2026-04-27,Tuesday,17:00,19:50,Lyndon Johnson Hall (LBJ)-3615,Lizzie Odom,12,12
ASL-English Interpretation,INTP 455,Practicum II,1,Seminar,52044,01,2026-01-12,2026-04-27,Wednesday,17:00,19:50,Online,Danny Maffia,50,50
ASL-English Interpretation,INTP 456,Seminar II,1,Seminar,52048,01,2026-01-12,2026-04-27,Monday,10:00,11:50,Lyndon Johnson Hall (LBJ)-2335,Jill Burress,8,8
ASL-English Interpretation,INTP 456,Seminar II,2,Seminar,52045,02,2026-01-12,2026-04-27,Monday,14:00,15:50,Lyndon Johnson Hall (LBJ)-2335,Jill Burress,8,8
ASL-English Interpretation,INTP 456,Seminar II,3,Seminar,52046,03,2026-01-12,2026-04-27,Thursday,12:00,13:50,Online,Danny Maffia,8,8
ASL-English Interpretation,INTP 456,Seminar II,4,Seminar,52047,04,2026-01-12,2026-04-27,Tuesday,17:00,18:50,Online,- To Be Determined,8,8
ASL-English Interpretation,INTP 456,Seminar II,5,Seminar,56498,05,2026-01-12,2026-04-27,Thursday,17:00,18:50,Online,- To Be Determined,8,8
ASL-English Interpretation,INTP 460,Issues in Interpreting,1,Lecture,51874,01,2026-01-12,2026-04-27,Tuesday,11:00,13:50,Online,- To Be Determined,10,10
ASL-English Interpretation,INTP 460,Issues in Interpreting,2,Lecture,51875,02,2026-01-12,2026-04-27,Thursday,17:00,19:50,Online,- To Be Determined,10,10
ASL-English Interpretation,INTP 481,Community Interpreting,1,Lecture,51963,01,2026-01-12,2026-04-27,Friday,08:00,10:50,Wallace Library (WAL) - 1660,Jeanette Corso,12,12
ASL-English Interpretation,INTP 491,Introduction to Video Relay Services and Video Remote Interpreting,1,Lecture,51984,01,2026-01-12,2026-04-27,Friday,12:00,14:50,Online,Danny Maffia,12,12
Academic Success,ACDS 72,Critical Math,1,Lecture,55786,02,2026-01-12,2026-04-27,Monday Wednesday,10:00,10:50,TBA,To be Announced,15,15
Academic Success,ACDS 72,Critical Math,2,Lecture,55787,03,2026-01-12,2026-04-27,Monday Wednesday,11:00,11:50,TBA,To be Announced,15,15
Academic Success,ACDS 72,Critical Math,3,Lecture,55788,04,2026-01-12,2026-04-27,Monday Wednesday,12:00,12:50,TBA,To be Announced,15,15
Academic Success,ACDS 72,Critical Math,4,Lecture,55789,05,2026-01-12,2026-04-27,Monday Wednesday,13:00,13:50,TBA,To be Announced,15,15
Academic Success,ACDS 72,Critical Math,5,Lecture,55790,06,2026-01-12,2026-04-27,Monday Wednesday,14:00,14:50,TBA,To be Announced,15,15
Academic Success,ACDS 72,Critical Math,6,Lecture,55792,08,2026-01-12,2026-04-27,Tuesday Thursday,10:00,10:50,TBA,To be Announced,15,15
Academic Success,ACDS 72,Critical Math,7,Lecture,55793,09,2026-01-12,2026-04-27,Tuesday Thursday,11:00,11:50,TBA,To be Announced,15,15
Academic Success,ACDS 72,Critical Math,8,Lecture,55794,10,2026-01-12,2026-04-27,Tuesday Thursday,13:00,13:50,TBA,To be Announced,15,15
Academic Success,ACDS 72,Critical Math,9,Lecture,55795,11,2026-01-12,2026-04-27,Tuesday Thursday,14:00,14:50,TBA,To be Announced,15,15
Academic Success,ACDS 78,Essential Trigonometry and Algebra for Calculus Success,1,Lecture,55781,01,2026-01-12,2026-04-27,Monday Wednesday Friday,09:00,09:50,George Eastman Hall (EAS)-3330,To be Announced,15,15
Academic Success,ACDS 78,Essential Trigonometry and Algebra for Calculus Success,2,Lecture,56091,02,2026-01-12,2026-04-27,Monday Wednesday,15:00,16:15,George Eastman Hall (EAS)-3330,To be Announced,15,15
Academic Success,ACDS 78,Essential Trigonometry and Algebra for Calculus Success,3,Lecture,56644,03,2026-01-12,2026-04-27,Tuesday Thursday,15:30,16:45,George Eastman Hall (EAS)-3330,To be Announced,15,15
Academic Success Center,ACSC 61,Applied Study Strategies,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,11:00,11:50,Monroe Hall (MON)-2030,Ann Burns,14,14
Academic Success Center,ACSC 61,Applied Study Strategies,2,UNKNOWN,,,2026-01-12,2026-04-27,Monday Wednesday,13:00,13:50,Monroe Hall (MON)-2030,Ann Burns,14,14
Academic Success Center,ACSC 61,Applied Study Strategies,3,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday,12:30,13:20,Monroe Hall (MON)-2030,Suzanne McMillan,14,14
Academic Success Center,ACSC 61,Applied Study Strategies,4,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday Thursday,14:00,14:50,Monroe Hall (MON)-2030,Kimberly Ray,14,14
Academic Success Center,ACSC 61,Applied Study Strategies,5,UNKNOWN,,,2026-01-12,2026-05-01,To be announced,TBA,,To be announced,To be Announced,15,15
Academic Success Center,ACSC 61,Applied Study Strategies,6,UNKNOWN,,,2026-01-12,2026-05-01,To be announced,TBA,,To be announced,To be Announced,15,15
Academic Success Center,ACSC 61,Applied Study Strategies,7,UNKNOWN,,,2026-01-12,2026-05-01,To be announced,TBA,,To be announced,To be Announced,15,15
Academic Success Center,ACSC 61,Applied Study Strategies,8,UNKNOWN,,,2026-01-12,2026-05-01,To be announced,TBA,,To be announced,To be Announced,15,15
Academic Success Center,ACSC 63,Study Strategies Lab,1,UNKNOWN,,,2026-01-12,2026-04-27,Monday,14:00,14:50,Monroe Hall (MON)-2030,Ann Burns,14,14
Academic Success Center,ACSC 63,Study Strategies Lab,2,UNKNOWN,,,2026-01-12,2026-04-27,Tuesday,09:30,10:20,Monroe Hall (MON)-2030,Inge Meffert,14,14
Academic Success Center,ACSC 63,Study Strategies Lab,3,UNKNOWN,,,2026-01-12,2026-04-27,Wednesday,16:00,16:50,Monroe Hall (MON)-2030,Gina Mussumeci,14,14
Academic Success Center,ACSC 63,Study Strategies Lab,4,UNKNOWN,,,2026-01-12,2026-04-27,Thursday,11:00,11:50,Monroe Hall (MON)-2030,Inge Meffert,14,14
Academic Success Center,ACSC 63,Study Strategies Lab,5,UNKNOWN,,,2026-01-12,2026-04-27,Friday,10:00,10:50,Monroe Hall (MON)-2030,Suzanne McMillan,14,14
Academic Success Center,ACSC 64,Essential Study Techniques,1,Lecture,55783,01,2026-01-12,2026-04-27,Wednesday,15:00,15:50,Monroe Hall (MON)-2030,Jemi Kuberski-Spring,14,14
Academic Success Center,ACSC 64,Essential Study Techniques,2,Lecture,55782,02,2026-01-12,2026-04-27,Friday,11:00,11:50,Monroe Hall (MON)-2030,Ashley Jackson,14,14
Academic Success Center,ACSC 64,Essential Study Techniques,3,Lecture,55785,08,2026-01-12,2026-04-27,Tuesday Thursday,15:30,16:20,Monroe Hall (MON)-2030,Gina Mussumeci,14,14
Academic Success Center,ACSC 64,Essential Study Techniques,4,Lecture,56701,700,2026-01-19,2026-05-05,Tuesday,18:00,19:30,DBK 31,Francis Brassard,5,5
Academic Success Center,ACSC 64,Essential Study Techniques,5,Lecture,56753,800,2026-01-19,2026-05-05,Thursday,09:30,10:25,To be announced,Tamara Lipnjak,20,20
Accounting,ACCT 110,Financial Accounting,1,Lecture,52301,01,2026-01-12,2026-04-27,Tuesday Thursday,09:30,10:45,Max Lowenthal Hall (LOW)-3115,Kean Wu,40,40
Accounting,ACCT 110,Financial Accounting,2,Lecture,52385,02,2026-01-12,2026-04-27,Wednesday,17:30,20:20,Online,Kean Wu,30,30
Accounting,ACCT 110,Financial Accounting,3,Lecture,52494,03,2026-01-12,2026-04-27,Tuesday Thursday,12:30,13:45,Max Lowenthal Hall (LOW)-3115,Kean Wu,40,40
Accounting,ACCT 110,Financial Accounting,4,Lecture,52454,04,2026-01-12,2026-04-27,Monday Wednesday Friday,10:00,10:50,Max Lowenthal Hall (LOW)-3105,Suzanne McCaffrey,35,35
Accounting,ACCT 110,Financial Accounting,5,Lecture,56525,05,2026-01-12,2026-04-27,Monday Wednesday Friday,09:00,09:50,Max Lowenthal Hall (LOW)-3235,- To Be Determined,15,15
Accounting,ACCT 110,Financial Accounting,6,Lecture,57068,600,2026-01-12,2026-05-01,Monday Wednesday Friday,09:00,09:55,To be announced,Tonmoy Choudhury,30,30
Accounting,ACCT 110,Financial Accounting,7,Lecture,57069,601,2026-01-12,2026-05-01,Monday Wednesday Friday,10:05,11:00,To be announced,Tonmoy Choudhury,30,30
Accounting,ACCT 110,Financial Accounting,8,Lecture,57324,602,2026-01-12,2026-05-01,Tuesday Thursday,09:00,10:20,To be announced,Yueting Cui,30,30
Accounting,ACCT 110,Financial Accounting,9,Lecture,57946,603,2026-01-12,2026-05-01,Tuesday Thursday,12:00,13:20,To be announced,Yueting Cui,30,30
